"Status","Name","Duration in ms","Description"
"passed","scripts.C:\Users\think\allure和pytest结合使用\scripts.test_search.TestSearch.test_search[xiaoming]","37675",""
"passed","scripts.C:\Users\think\allure和pytest结合使用\scripts.test_search.TestSearch.test_search[hello1]","41738",""
